RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_22,OVERALL_DESTPER_22,COHORT_DIS_22,OVERALL_DESTPER_DIS_22,COHORT_NONDIS_22,OVERALL_DESTPER_NONDIS_22,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21
1,865,4008,146344,0,Melksham Oak Community School,ACC,201,183,7,5,171,117,54,0,0,10,8,91%,3%,2%,85%,58%,27%,0%,0%,5%,4%,46,36,1,2,33,28,5,0,0,6,4,78%,2%,4%,72%,61%,11%,0%,0%,13%,9%,155,147,6,3,138,89,49,0,0,4,4,95%,4%,2%,89%,57%,32%,0%,0%,3%,3%,232,93%,59,78%,173,98%,210,95%,39,90%,171,96%
1,865,5413,136500,0,Bishop Wordsworth's Church of England Grammar School,ACC,155,154,0,3,151,5,130,16,0,0,1,99%,0%,2%,97%,3%,84%,10%,0%,0%,1%,1,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,154,SUPP,0,3,SUPP,5,SUPP,16,0,0,SUPP,SUPP,0%,2%,SUPP,3%,SUPP,10%,0%,0%,SUPP,160,99%,6,SUPP,154,SUPP,125,100%,4,SUPP,121,100%
1,865,5402,136389,0,Lavington School,ACC,155,146,3,5,138,67,69,2,0,6,3,94%,2%,3%,89%,43%,45%,1%,0%,4%,2%,22,17,1,2,14,8,6,0,0,SUPP,SUPP,77%,5%,9%,64%,36%,27%,0%,0%,SUPP,SUPP,133,129,2,3,124,59,63,2,0,SUPP,SUPP,97%,2%,2%,93%,44%,47%,2%,0%,SUPP,SUPP,147,97%,21,81%,126,99%,156,97%,11,91%,145,98%
1,865,5415,126510,0,Matravers School,FD,146,134,4,6,124,64,57,0,3,8,4,92%,3%,4%,85%,44%,39%,0%,2%,5%,3%,33,27,0,2,25,19,6,0,0,5,1,82%,0%,6%,76%,58%,18%,0%,0%,15%,3%,113,107,4,4,99,45,51,0,3,3,3,95%,4%,4%,88%,40%,45%,0%,3%,3%,3%,133,97%,26,SUPP,107,SUPP,129,94%,28,89%,101,95%
1,865,4537,137057,0,St Laurence School,ACC,228,222,2,7,213,73,138,0,2,5,1,97%,1%,3%,93%,32%,61%,0%,1%,2%,SP,25,20,0,1,19,11,8,0,0,SUPP,SUPP,80%,0%,4%,76%,44%,32%,0%,0%,SUPP,SUPP,203,202,2,6,194,62,130,0,2,SUPP,SUPP,100%,1%,3%,96%,31%,64%,0%,1%,SUPP,SUPP,230,97%,23,96%,207,97%,218,97%,24,88%,194,98%
1,865,5404,136632,0,Sheldon School,ACC,276,258,7,10,241,103,136,0,2,12,6,93%,3%,4%,87%,37%,49%,0%,1%,4%,2%,41,31,1,2,28,SUPP,10,0,SUPP,7,3,76%,2%,5%,68%,SUPP,24%,0%,SUPP,17%,7%,235,227,6,8,213,SUPP,126,0,SUPP,5,3,97%,3%,3%,91%,SUPP,54%,0%,SUPP,2%,1%,248,95%,31,77%,217,97%,277,96%,40,93%,237,97%
1,865,5412,136391,0,South Wilts Grammar School,ACC,157,150,0,2,148,3,123,21,1,3,4,96%,0%,1%,94%,2%,78%,13%,1%,2%,3%,6,6,0,0,6,0,5,SUPP,SUPP,0,0,100%,0%,0%,100%,0%,83%,SUPP,SUPP,0%,0%,151,144,0,2,142,3,118,SUPP,SUPP,3,4,95%,0%,1%,94%,2%,78%,SUPP,SUPP,2%,3%,156,100%,4,SUPP,152,100%,149,97%,4,SUPP,145,97%
1,865,6906,136183,0,Sarum Academy,AC,84,63,1,4,58,30,28,0,0,11,10,75%,1%,5%,69%,36%,33%,0%,0%,13%,12%,31,21,SUPP,SUPP,20,12,8,0,0,6,4,68%,SUPP,SUPP,65%,39%,26%,0%,0%,19%,13%,53,42,SUPP,SUPP,38,18,20,0,0,5,6,79%,SUPP,SUPP,72%,34%,38%,0%,0%,9%,11%,72,88%,30,80%,42,93%,63,76%,28,79%,35,74%
LA,865,,,,,,5123,4763,145,160,4458,1922,2189,293,54,224,136,93%,3%,3%,87%,38%,43%,6%,1%,4%,3%,805,665,15,35,620,415,160,25,25,90,50,83%,2%,4%,77%,51%,20%,3%,3%,11%,6%,4315,4095,130,125,3840,1510,2030,270,30,130,90,95%,3%,3%,89%,35%,47%,6%,1%,3%,2%,4993,94%,850,83%,4145,97%,5000,94%,825,86%,4175,96%
NAT,,,,,,,607348,554426,19432,15542,519452,222753,209002,76705,10992,34418,18504,91%,3%,3%,86%,37%,34%,13%,2%,6%,3%,159566,132612,3418,4688,124506,71483,33394,14525,5104,17777,9177,83%,2%,3%,78%,45%,21%,9%,3%,11%,6%,447782,421814,16014,10854,394946,151270,175608,62180,5888,16641,9327,94%,4%,2%,88%,34%,39%,14%,1%,4%,2%,588084,92%,155078,85%,433006,95%,576304,93%,152218,86%,424086,95%
